id,simulation_id,frequency,elastic_modulu,viscous_modulu
267,1,0.0009762156,0.2368584,127.7294
266,1,0.001073837,0.2865984,140.5022
265,1,0.001181221,0.3467835,154.5522
264,1,0.001299343,0.4196074,170.0072
263,1,0.001429277,0.5077239,187.0077
262,1,0.001572205,0.6143443,205.708
261,1,0.001729426,0.7433544,226.2783
260,1,0.001902368,0.8994556,248.9054
259,1,0.002092605,1.088336,273.795
258,1,0.002301865,1.31688,301.1733
257,1,0.002532052,1.593415,331.289
256,1,0.002785257,1.928017,364.4157
255,1,0.003063783,2.332878,400.8543
254,1,0.003370161,2.82275,440.9359
253,1,0.003707177,3.41548,485.0243
252,1,0.004077895,4.132662,533.5198
251,1,0.004485684,5.00042,586.8626
250,1,0.004934253,6.050359,645.5367
249,1,0.005427678,7.320718,710.0741
248,1,0.005970446,8.85775,781.0599
247,1,0.00656749,10.71741,859.1371
246,1,0.00722424,12.96739,945.0125
245,1,0.007946663,15.68954,1039.463
244,1,0.00874133,18.98289,1143.341
243,1,0.009615463,22.96715,1257.585
242,1,0.01057701,27.78713,1383.223
241,1,0.01163471,33.61784,1521.386
240,1,0.01279818,40.67089,1673.312
239,1,0.014078,49.20196,1840.36
238,1,0.0154858,59.52002,2024.02
237,1,0.01703438,71.99822,2225.921
236,1,0.01873782,87.08711,2447.847
235,1,0.0206116,105.3304,2691.745
234,1,0.02267276,127.3841,2959.742
233,1,0.02494003,154.0386,3254.15
232,1,0.02743404,186.2461,3577.484
231,1,0.03017744,225.1524,3932.468
230,1,0.03319519,272.1343,4322.042
229,1,0.0365147,328.8443,4749.371
228,1,0.04016617,397.2621,5217.839
227,1,0.04418279,479.7545,5731.045
226,1,0.04860107,579.1439,6292.785
225,1,0.05346118,698.7856,6907.021
224,1,0.0588073,842.6537,7577.833
223,1,0.06468803,1015.433,8309.354
222,1,0.07115683,1222.619,9105.67
221,1,0.07827251,1470.608,9970.689
220,1,0.08609976,1766.793,10907.97
219,1,0.09470974,2119.625,11920.51
218,1,0.1041807,2538.651,13010.46
217,1,0.1145988,3034.495,14178.82
216,1,0.1260587,3618.749,15425.05
215,1,0.1386645,4303.77,16746.68
214,1,0.152531,5102.329,18138.9
213,1,0.1677841,6027.103,19594.21
212,1,0.1845625,7089.989,21102.1
211,1,0.2030187,8301.261,22649.04
210,1,0.2233206,9668.611,24218.58
209,1,0.2456527,11196.16,25791.89
208,1,0.2702179,12883.56,27348.6
207,1,0.2972397,14725.37,28868.03
206,1,0.3269637,16710.81,30330.66
205,1,0.3596601,18824.01,31719.66
204,1,0.3956261,21044.85,33022.38
203,1,0.4351887,23350.21,34231.43
202,1,0.4787076,25715.52,35345.33
201,1,0.5265783,28116.42,36368.54
200,1,0.5792361,30530.23,37311.03
199,1,0.6371598,32937.11,38187.39
198,1,0.7008757,35320.78,39015.83
197,1,0.7709633,37668.88,39817.05
196,1,0.8480596,39972.97,40613.27
195,1,0.9328656,42228.23,41427.49
194,1,1.026152,44433.19,42282.92
193,1,1.128767,46589.28,43202.68
192,1,1.241644,48700.53,44209.59
191,1,1.365809,50773.32,45326.19
190,1,1.502389,52816.28,46574.68
189,1,1.652628,54840.19,47976.98
188,1,1.817891,56858.1,49554.75
187,1,1.99968,58885.43,51329.26
186,1,2.199648,60940.16,53321.31
185,1,2.419613,63043.01,55550.96
184,1,2.661574,65217.67,58037.16
183,1,2.927732,67490.88,60797.34
182,1,3.220505,69892.55,63846.72
181,1,3.542556,72455.62,67197.73
180,1,3.896811,75215.81,70859.18
179,1,4.286492,78211.17,74835.49
178,1,4.715141,81481.31,79125.98
177,1,5.186656,85066.4,83724.28
176,1,5.705321,89006.0,88617.96
175,1,6.275853,93337.67,93788.48
174,1,6.903439,98095.52,99211.59
173,1,7.593782,103308.9,104858.1
172,1,8.353161,109001.5,110694.8
171,1,9.188477,115190.1,116686.5
170,1,10.10732,121884.9,122796.9
169,1,11.11806,129089.4,128990.5
168,1,12.22986,136801.1,135234.1
167,1,13.45285,145012.2,141497.6
166,1,14.79813,153711.3,147755.2
165,1,16.27795,162883.8,153985.1
164,1,17.90574,172513.9,160170.2
163,1,19.69632,182585.0,166297.5
162,1,21.66595,193080.7,172357.9
161,1,23.83254,203985.6,178345.4
160,1,26.2158,215285.6,184256.6
159,1,28.83738,226968.3,190090.1
158,1,31.72111,239022.7,195846.2
157,1,34.89323,251439.8,201525.8
156,1,38.38255,264212.2,207130.7
155,1,42.2208,277334.1,212662.5
154,1,46.44288,290801.1,218122.7
153,1,51.08717,304610.0,223512.5
152,1,56.19589,318758.7,228832.1
151,1,61.81548,333245.9,234081.2
150,1,67.99702,348071.0,239258.2
149,1,74.79673,363233.9,244360.6
148,1,82.2764,378734.9,249384.4
147,1,90.50404,394574.0,254324.7
146,1,99.55444,410751.4,259174.8
145,1,109.5099,427267.0,263927.0
144,1,120.4609,444119.9,268571.9
143,1,132.507,461308.8,273099.0
142,1,145.7577,478831.1,277496.2
141,1,160.3334,496683.3,281750.2
140,1,176.3668,514860.4,285846.5
139,1,194.0034,533355.9,289769.5
138,1,213.4038,552161.4,293502.6
137,1,234.7442,571266.8,297028.5
136,1,258.2186,590659.4,300329.3
135,1,284.0404,610324.7,303386.8
134,1,312.4445,630245.5,306182.9
133,1,343.6889,650402.2,308699.7
132,1,378.0578,670772.9,310920.0
131,1,415.8636,691333.1,312827.7
130,1,457.45,712055.9,314407.9
129,1,503.195,732912.5,315647.5
128,1,553.5145,753871.8,316535.6
127,1,608.8659,774901.1,317063.5
126,1,669.7525,795966.7,317225.3
125,1,736.7278,817033.4,317017.9
124,1,810.4005,838066.0,316441.4
123,1,891.4406,859029.0,315498.9
122,1,980.5847,879887.4,314196.6
121,1,1078.643,900607.0,312544.0
120,1,1186.507,921155.1,310553.2
119,1,1305.158,941549.6,311144.0
118,1,1435.674,961674.1,308814.5
117,1,1579.241,981542.9,306227.5
116,1,1737.166,1001133.0,303407.2
115,1,1910.882,1020423.0,300379.2
114,1,2101.97,1039397.0,297170.3
113,1,2312.167,1058041.0,293808.2
112,1,2543.384,1076342.0,290321.1
111,1,2797.722,1094294.0,286737.3
110,1,3077.495,1111892.0,283084.9
109,1,3385.244,1129132.0,279391.8
108,1,3723.769,1146016.0,275685.2
107,1,4096.145,1162546.0,271991.5
106,1,4505.76,1178729.0,268336.3
105,1,4956.336,1194570.0,264744.1
104,1,5451.97,1210080.0,261238.6
103,1,5997.167,1225270.0,257842.1
102,1,6596.883,1240152.0,254576.2
101,1,7256.572,1254743.0,251460.9
100,1,7982.229,1269058.0,248515.3
99,1,8780.452,1283116.0,245757.1
98,1,9658.497,1296936.0,243202.8
97,1,10624.35,1310541.0,240866.9
96,1,11686.78,1323954.0,238762.3
95,1,12855.46,1337199.0,236899.7
94,1,14141.01,1350303.0,235287.1
93,1,15555.11,1363293.0,233929.4
92,1,17110.62,1376197.0,232828.2
91,1,18821.68,1389043.0,231981.0
90,1,20703.85,1401855.0,231381.0
89,1,22774.23,1414660.0,231017.3
88,1,25051.65,1427475.0,230875.1
87,1,27556.82,1440315.0,230936.8
86,1,30312.5,1453188.0,231183.4
85,1,33343.75,1466094.0,231596.5
84,1,36678.13,1479024.0,232161.4
83,1,40345.94,1491964.0,232869.2
82,1,44380.53,1504892.0,233719.7
81,1,48818.59,1517787.0,234723.1
80,1,53700.44,1530626.0,235900.7
79,1,59070.49,1543392.0,237284.1
78,1,64977.54,1556073.0,238913.7
77,1,71475.29,1568669.0,240835.7
76,1,78622.82,1581188.0,243098.9
75,1,86485.1,1593649.0,245751.1
74,1,95133.61,1606078.0,248837.0
73,1,104647.0,1618504.0,252396.3
72,1,115111.7,1630963.0,256462.8
71,1,126622.8,1643487.0,261065.3
70,1,139285.1,1656105.0,266229.5
69,1,153213.6,1668842.0,271979.7
68,1,168535.0,1681721.0,278342.3
67,1,185388.5,1694756.0,285347.6
66,1,203927.3,1707962.0,293032.2
65,1,224320.1,1721351.0,301439.7
64,1,246752.1,1734937.0,310621.2
63,1,271427.3,1748736.0,320634.7
62,1,298570.0,1762767.0,331544.6
61,1,328427.0,1777050.0,343421.2
60,1,361269.7,1791611.0,356340.3
59,1,397396.7,1806474.0,370383.9
58,1,437136.4,1821670.0,385641.2
57,1,480850.0,1837228.0,402209.3
56,1,528935.0,1853181.0,420194.5
55,1,581828.5,1869566.0,439713.5
54,1,640011.4,1886423.0,460894.6
53,1,704012.5,1903799.0,483878.6
52,1,774413.8,1921745.0,508820.2
51,1,851855.1,1940322.0,535889.4
50,1,937040.6,1959602.0,565272.4
49,1,1030745.0,1979667.0,597173.7
48,1,1133819.0,2000618.0,631816.4
47,1,1247201.0,2022574.0,669443.2
46,1,1371921.0,2045682.0,710942.3
45,1,1509113.0,2070116.0,755404.7
44,1,1660025.0,2096087.0,803696.3
43,1,1826027.0,2123854.0,856125.3
42,1,2008630.0,2153723.0,913899.0
41,1,2209493.0,2186050.0,975625.4
40,1,2430442.0,2221258.0,1043467.0
39,1,2673486.0,2259815.0,1115679.0
38,1,2940835.0,2302259.0,1194690.0
37,1,3234918.0,2349159.0,1279629.0
36,1,3558410.0,2401121.0,1370617.0
35,1,3914251.0,2458762.0,1467697.0
34,1,4305676.0,2522695.0,1570837.0
33,1,4736244.0,2593518.0,1681687.0
32,1,5209868.0,2671762.0,1798549.0
31,1,5730855.0,2757909.0,1921236.0
30,1,6303941.0,2852370.0,2049535.0
29,1,6934335.0,2955503.0,2185360.0
28,1,7627768.0,3067572.0,2326588.0
27,1,8390545.0,3188796.0,2473081.0
26,1,9229600.0,3319355.0,2624751.0
25,1,10152560.0,3459424.0,2784006.0
24,1,11167820.0,3609149.0,2951068.0
23,1,12284600.0,3768636.0,3121195.0
22,1,13513060.0,3938092.0,3299523.0
21,1,14864360.0,4117682.0,3483831.0
20,1,16350800.0,4307652.0,3677039.0
19,1,17985880.0,4508236.0,3876925.0
18,1,19784470.0,4719731.0,4083870.0
17,1,21762910.0,4942500.0,4300989.0
16,1,23939200.0,5176900.0,4526078.0
15,1,26333130.0,5423378.0,4762343.0
14,1,28966440.0,5682348.0,5004854.0
13,1,31863080.0,5954394.0,5262373.0
12,1,35049390.0,6240010.0,5529986.0
11,1,38554330.0,6539786.0,5808279.0
10,1,42409760.0,6854377.0,6100639.0
9,1,46650740.0,7184427.0,6404933.0
8,1,51315810.0,7530676.0,6724612.0
7,1,56447390.0,7893878.0,7060373.0
6,1,62092130.0,8274775.0,7407354.0
5,1,68301350.0,8674293.0,7774693.0
4,1,75131480.0,9093263.0,8157572.0
3,1,82644630.0,9532647.0,8559612.0
2,1,90909090.0,9993428.0,8981664.0
1,1,100000000.0,10476610.0,9421811.0
534,2,0.0009762156,0.2368584,127.7294
533,2,0.001073837,0.2865984,140.5022
532,2,0.001181221,0.3467835,154.5522
531,2,0.001299343,0.4196074,170.0072
530,2,0.001429277,0.5077239,187.0077
529,2,0.001572205,0.6143443,205.708
528,2,0.001729426,0.7433544,226.2783
527,2,0.001902368,0.8994556,248.9054
526,2,0.002092605,1.088336,273.795
525,2,0.002301865,1.31688,301.1733
524,2,0.002532052,1.593415,331.289
523,2,0.002785257,1.928017,364.4157
522,2,0.003063783,2.332878,400.8543
521,2,0.003370161,2.82275,440.9359
520,2,0.003707177,3.41548,485.0243
519,2,0.004077895,4.132662,533.5198
518,2,0.004485684,5.00042,586.8626
517,2,0.004934253,6.050359,645.5367
516,2,0.005427678,7.320718,710.0741
515,2,0.005970446,8.85775,781.0599
514,2,0.00656749,10.71741,859.1371
513,2,0.00722424,12.96739,945.0125
512,2,0.007946663,15.68954,1039.463
511,2,0.00874133,18.98289,1143.341
510,2,0.009615463,22.96715,1257.585
509,2,0.01057701,27.78713,1383.223
508,2,0.01163471,33.61784,1521.386
507,2,0.01279818,40.67089,1673.312
506,2,0.014078,49.20196,1840.36
505,2,0.0154858,59.52002,2024.02
504,2,0.01703438,71.99822,2225.921
503,2,0.01873782,87.08711,2447.847
502,2,0.0206116,105.3304,2691.745
501,2,0.02267276,127.3841,2959.742
500,2,0.02494003,154.0386,3254.15
499,2,0.02743404,186.2461,3577.484
498,2,0.03017744,225.1524,3932.468
497,2,0.03319519,272.1343,4322.042
496,2,0.0365147,328.8443,4749.371
495,2,0.04016617,397.2621,5217.839
494,2,0.04418279,479.7545,5731.045
493,2,0.04860107,579.1439,6292.785
492,2,0.05346118,698.7856,6907.021
491,2,0.0588073,842.6537,7577.833
490,2,0.06468803,1015.433,8309.354
489,2,0.07115683,1222.619,9105.67
488,2,0.07827251,1470.608,9970.689
487,2,0.08609976,1766.793,10907.97
486,2,0.09470974,2119.625,11920.51
485,2,0.1041807,2538.651,13010.46
484,2,0.1145988,3034.495,14178.82
483,2,0.1260587,3618.749,15425.05
482,2,0.1386645,4303.77,16746.68
481,2,0.152531,5102.329,18138.9
480,2,0.1677841,6027.103,19594.21
479,2,0.1845625,7089.989,21102.1
478,2,0.2030187,8301.261,22649.04
477,2,0.2233206,9668.611,24218.58
476,2,0.2456527,11196.16,25791.89
475,2,0.2702179,12883.56,27348.6
474,2,0.2972397,14725.37,28868.03
473,2,0.3269637,16710.81,30330.66
472,2,0.3596601,18824.01,31719.66
471,2,0.3956261,21044.85,33022.38
470,2,0.4351887,23350.21,34231.43
469,2,0.4787076,25715.52,35345.33
468,2,0.5265783,28116.42,36368.54
467,2,0.5792361,30530.23,37311.03
466,2,0.6371598,32937.11,38187.39
465,2,0.7008757,35320.78,39015.83
464,2,0.7709633,37668.88,39817.05
463,2,0.8480596,39972.97,40613.27
462,2,0.9328656,42228.23,41427.49
461,2,1.026152,44433.19,42282.92
460,2,1.128767,46589.28,43202.68
459,2,1.241644,48700.53,44209.59
458,2,1.365809,50773.32,45326.19
457,2,1.502389,52816.28,46574.68
456,2,1.652628,54840.19,47976.98
455,2,1.817891,56858.1,49554.75
454,2,1.99968,58885.43,51329.26
453,2,2.199648,60940.16,53321.31
452,2,2.419613,63043.01,55550.96
451,2,2.661574,65217.67,58037.16
450,2,2.927732,67490.88,60797.34
449,2,3.220505,69892.55,63846.72
448,2,3.542556,72455.62,67197.73
447,2,3.896811,75215.81,70859.18
446,2,4.286492,78211.17,74835.49
445,2,4.715141,81481.31,79125.98
444,2,5.186656,85066.4,83724.28
443,2,5.705321,89006.0,88617.96
442,2,6.275853,93337.67,93788.48
441,2,6.903439,98095.52,99211.59
440,2,7.593782,103308.9,104858.1
439,2,8.353161,109001.5,110694.8
438,2,9.188477,115190.1,116686.5
437,2,10.10732,121884.9,122796.9
436,2,11.11806,129089.4,128990.5
435,2,12.22986,136801.1,135234.1
434,2,13.45285,145012.2,141497.6
433,2,14.79813,153711.3,147755.2
432,2,16.27795,162883.8,153985.1
431,2,17.90574,172513.9,160170.2
430,2,19.69632,182585.0,166297.5
429,2,21.66595,193080.7,172357.9
428,2,23.83254,203985.6,178345.4
427,2,26.2158,215285.6,184256.6
426,2,28.83738,226968.3,190090.1
425,2,31.72111,239022.7,195846.2
424,2,34.89323,251439.8,201525.8
423,2,38.38255,264212.2,207130.7
422,2,42.2208,277334.1,212662.5
421,2,46.44288,290801.1,218122.7
420,2,51.08717,304610.0,223512.5
419,2,56.19589,318758.7,228832.1
418,2,61.81548,333245.9,234081.2
417,2,67.99702,348071.0,239258.2
416,2,74.79673,363233.9,244360.6
415,2,82.2764,378734.9,249384.4
414,2,90.50404,394574.0,254324.7
413,2,99.55444,410751.4,259174.8
412,2,109.5099,427267.0,263927.0
411,2,120.4609,444119.9,268571.9
410,2,132.507,461308.8,273099.0
409,2,145.7577,478831.1,277496.2
408,2,160.3334,496683.3,281750.2
407,2,176.3668,514860.4,285846.5
406,2,194.0034,533355.9,289769.5
405,2,213.4038,552161.4,293502.6
404,2,234.7442,571266.8,297028.5
403,2,258.2186,590659.4,300329.3
402,2,284.0404,610324.7,303386.8
401,2,312.4445,630245.5,306182.9
400,2,343.6889,650402.2,308699.7
399,2,378.0578,670772.9,310920.0
398,2,415.8636,691333.1,312827.7
397,2,457.45,712055.9,314407.9
396,2,503.195,732912.5,315647.5
395,2,553.5145,753871.8,316535.6
394,2,608.8659,774901.1,317063.5
393,2,669.7525,795966.7,317225.3
392,2,736.7278,817033.4,317017.9
391,2,810.4005,838066.0,316441.4
390,2,891.4406,859029.0,315498.9
389,2,980.5847,879887.4,314196.6
388,2,1078.643,900607.0,312544.0
387,2,1186.507,921155.1,310553.2
386,2,1305.158,941549.6,311144.0
385,2,1435.674,961674.1,308814.5
384,2,1579.241,981542.9,306227.5
383,2,1737.166,1001133.0,303407.2
382,2,1910.882,1020423.0,300379.2
381,2,2101.97,1039397.0,297170.3
380,2,2312.167,1058041.0,293808.2
379,2,2543.384,1076342.0,290321.1
378,2,2797.722,1094294.0,286737.3
377,2,3077.495,1111892.0,283084.9
376,2,3385.244,1129132.0,279391.8
375,2,3723.769,1146016.0,275685.2
374,2,4096.145,1162546.0,271991.5
373,2,4505.76,1178729.0,268336.3
372,2,4956.336,1194570.0,264744.1
371,2,5451.97,1210080.0,261238.6
370,2,5997.167,1225270.0,257842.1
369,2,6596.883,1240152.0,254576.2
368,2,7256.572,1254743.0,251460.9
367,2,7982.229,1269058.0,248515.3
366,2,8780.452,1283116.0,245757.1
365,2,9658.497,1296936.0,243202.8
364,2,10624.35,1310541.0,240866.9
363,2,11686.78,1323954.0,238762.3
362,2,12855.46,1337199.0,236899.7
361,2,14141.01,1350303.0,235287.1
360,2,15555.11,1363293.0,233929.4
359,2,17110.62,1376197.0,232828.2
358,2,18821.68,1389043.0,231981.0
357,2,20703.85,1401855.0,231381.0
356,2,22774.23,1414660.0,231017.3
355,2,25051.65,1427475.0,230875.1
354,2,27556.82,1440315.0,230936.8
353,2,30312.5,1453188.0,231183.4
352,2,33343.75,1466094.0,231596.5
351,2,36678.13,1479024.0,232161.4
350,2,40345.94,1491964.0,232869.2
349,2,44380.53,1504892.0,233719.7
348,2,48818.59,1517787.0,234723.1
347,2,53700.44,1530626.0,235900.7
346,2,59070.49,1543392.0,237284.1
345,2,64977.54,1556073.0,238913.7
344,2,71475.29,1568669.0,240835.7
343,2,78622.82,1581188.0,243098.9
342,2,86485.1,1593649.0,245751.1
341,2,95133.61,1606078.0,248837.0
340,2,104647.0,1618504.0,252396.3
339,2,115111.7,1630963.0,256462.8
338,2,126622.8,1643487.0,261065.3
337,2,139285.1,1656105.0,266229.5
336,2,153213.6,1668842.0,271979.7
335,2,168535.0,1681721.0,278342.3
334,2,185388.5,1694756.0,285347.6
333,2,203927.3,1707962.0,293032.2
332,2,224320.1,1721351.0,301439.7
331,2,246752.1,1734937.0,310621.2
330,2,271427.3,1748736.0,320634.7
329,2,298570.0,1762767.0,331544.6
328,2,328427.0,1777050.0,343421.2
327,2,361269.7,1791611.0,356340.3
326,2,397396.7,1806474.0,370383.9
325,2,437136.4,1821670.0,385641.2
324,2,480850.0,1837228.0,402209.3
323,2,528935.0,1853181.0,420194.5
322,2,581828.5,1869566.0,439713.5
321,2,640011.4,1886423.0,460894.6
320,2,704012.5,1903799.0,483878.6
319,2,774413.8,1921745.0,508820.2
318,2,851855.1,1940322.0,535889.4
317,2,937040.6,1959602.0,565272.4
316,2,1030745.0,1979667.0,597173.7
315,2,1133819.0,2000618.0,631816.4
314,2,1247201.0,2022574.0,669443.2
313,2,1371921.0,2045682.0,710942.3
312,2,1509113.0,2070116.0,755404.7
311,2,1660025.0,2096087.0,803696.3
310,2,1826027.0,2123854.0,856125.3
309,2,2008630.0,2153723.0,913899.0
308,2,2209493.0,2186050.0,975625.4
307,2,2430442.0,2221258.0,1043467.0
306,2,2673486.0,2259815.0,1115679.0
305,2,2940835.0,2302259.0,1194690.0
304,2,3234918.0,2349159.0,1279629.0
303,2,3558410.0,2401121.0,1370617.0
302,2,3914251.0,2458762.0,1467697.0
301,2,4305676.0,2522695.0,1570837.0
300,2,4736244.0,2593518.0,1681687.0
299,2,5209868.0,2671762.0,1798549.0
298,2,5730855.0,2757909.0,1921236.0
297,2,6303941.0,2852370.0,2049535.0
296,2,6934335.0,2955503.0,2185360.0
295,2,7627768.0,3067572.0,2326588.0
294,2,8390545.0,3188796.0,2473081.0
293,2,9229600.0,3319355.0,2624751.0
292,2,10152560.0,3459424.0,2784006.0
291,2,11167820.0,3609149.0,2951068.0
290,2,12284600.0,3768636.0,3121195.0
289,2,13513060.0,3938092.0,3299523.0
288,2,14864360.0,4117682.0,3483831.0
287,2,16350800.0,4307652.0,3677039.0
286,2,17985880.0,4508236.0,3876925.0
285,2,19784470.0,4719731.0,4083870.0
284,2,21762910.0,4942500.0,4300989.0
283,2,23939200.0,5176900.0,4526078.0
282,2,26333130.0,5423378.0,4762343.0
281,2,28966440.0,5682348.0,5004854.0
280,2,31863080.0,5954394.0,5262373.0
279,2,35049390.0,6240010.0,5529986.0
278,2,38554330.0,6539786.0,5808279.0
277,2,42409760.0,6854377.0,6100639.0
276,2,46650740.0,7184427.0,6404933.0
275,2,51315810.0,7530676.0,6724612.0
274,2,56447390.0,7893878.0,7060373.0
273,2,62092130.0,8274775.0,7407354.0
272,2,68301350.0,8674293.0,7774693.0
271,2,75131480.0,9093263.0,8157572.0
270,2,82644630.0,9532647.0,8559612.0
269,2,90909090.0,9993428.0,8981664.0
268,2,100000000.0,10476610.0,9421811.0
