id,simulation_id,time,modulu
1,1,3e-11,87198400.0
2,1,3.6e-11,85521030.0
3,1,4.32e-11,83588010.0
4,1,5.184e-11,81377270.0
5,1,6.2208e-11,78871370.0
6,1,7.46496e-11,76060320.0
7,1,8.957952e-11,72944700.0
8,1,1.074954e-10,69538940.0
9,1,1.289945e-10,65873950.0
10,1,1.547934e-10,61998500.0
11,1,1.857521e-10,57978450.0
12,1,2.229025e-10,53893040.0
13,1,2.67483e-10,49828030.0
14,1,3.209796e-10,45866670.0
15,1,3.851755e-10,42080020.0
16,1,4.622106e-10,38519540.0
17,1,5.546528e-10,35213910.0
18,1,6.655833e-10,32170010.0
19,1,7.987e-10,29379110.0
20,1,9.5844e-10,26831080.0
21,1,1.150128e-09,24505110.0
22,1,1.380154e-09,22381640.0
23,1,1.656184e-09,20442860.0
24,1,1.987421e-09,18673240.0
25,1,2.384905e-09,17057620.0
26,1,2.861886e-09,15582670.0
27,1,3.434264e-09,14236450.0
28,1,4.121117e-09,13007860.0
29,1,4.94534e-09,11886290.0
30,1,5.934408e-09,10862770.0
31,1,7.121289e-09,9928895.0
32,1,8.545547e-09,9077038.0
33,1,1.025466e-08,8300258.0
34,1,1.230559e-08,7592248.0
35,1,1.476671e-08,6947077.0
36,1,1.772005e-08,6359801.0
37,1,2.126406e-08,5825545.0
38,1,2.551687e-08,5340325.0
39,1,3.062024e-08,4900349.0
40,1,3.674429e-08,4501902.0
41,1,4.409315e-08,4142326.0
42,1,5.291178e-08,3818932.0
43,1,6.349413e-08,3529159.0
44,1,7.619296e-08,3270888.0
45,1,9.143155e-08,3042188.0
46,1,1.097179e-07,2841354.0
47,1,1.316614e-07,2666557.0
48,1,1.579937e-07,2516083.0
49,1,1.895925e-07,2388130.0
50,1,2.27511e-07,2280733.0
51,1,2.730131e-07,2191738.0
52,1,3.276158e-07,2118677.0
53,1,3.931389e-07,2058910.0
54,1,4.717667e-07,2009697.0
55,1,5.661201e-07,1968312.0
56,1,6.793441e-07,1932279.0
57,1,8.152129e-07,1899581.0
58,1,9.782555e-07,1868773.0
59,1,1.173907e-06,1839004.0
60,1,1.408688e-06,1809904.0
61,1,1.690425e-06,1781404.0
62,1,2.028511e-06,1753548.0
63,1,2.434213e-06,1726372.0
64,1,2.921055e-06,1699857.0
65,1,3.505266e-06,1673934.0
66,1,4.206319e-06,1648508.0
67,1,5.047583e-06,1623476.0
68,1,6.0571e-06,1598738.0
69,1,7.26852e-06,1574196.0
70,1,8.722224e-06,1549761.0
71,1,1.046667e-05,1525347.0
72,1,1.256e-05,1500870.0
73,1,1.5072e-05,1476254.0
74,1,1.80864e-05,1451423.0
75,1,2.170368e-05,1426308.0
76,1,2.604442e-05,1400850.0
77,1,3.125331e-05,1375011.0
78,1,3.750397e-05,1338688.0
79,1,4.500476e-05,1315062.0
80,1,5.400571e-05,1290530.0
81,1,6.480685e-05,1265060.0
82,1,7.776822e-05,1238620.0
83,1,9.332187e-05,1211184.0
84,1,0.0001119862,1182727.0
85,1,0.0001343835,1153231.0
86,1,0.0001612602,1122686.0
87,1,0.0001935122,1091094.0
88,1,0.0002322147,1058465.0
89,1,0.0002786576,1024830.0
90,1,0.0003343891,990232.1
91,1,0.000401267,954737.3
92,1,0.0004815203,918431.6
93,1,0.0005778244,881423.5
94,1,0.0006933893,843843.6
95,1,0.0008320672,805843.4
96,1,0.0009984806,767592.7
97,1,0.001198177,729275.3
98,1,0.001437812,691083.4
99,1,0.001725374,653211.6
100,1,0.002070449,615849.3
101,1,0.002484539,579174.0
102,1,0.002981447,543345.4
103,1,0.003577736,508500.2
104,1,0.004293284,474750.0
105,1,0.005151941,442180.4
106,1,0.006182329,410852.3
107,1,0.007418794,380805.7
108,1,0.008902553,352063.1
109,1,0.01068306,324634.8
110,1,0.01281968,298523.5
111,1,0.01538361,273728.0
112,1,0.01846033,250247.1
113,1,0.0221524,228081.6
114,1,0.02658288,207235.9
115,1,0.03189946,187718.9
116,1,0.03827935,169543.2
117,1,0.04593522,152724.0
118,1,0.05512226,137277.0
119,1,0.06614672,123214.5
120,1,0.07937606,110541.4
121,1,0.09525127,99249.6
122,1,0.1143015,89311.68
123,1,0.1371618,80674.75
124,1,0.1645942,73255.04
125,1,0.197513,66934.8
126,1,0.2370156,61563.03
127,1,0.2844188,56961.51
128,1,0.3413025,52936.49
129,1,0.409563,49295.32
130,1,0.4914756,45864.91
131,1,0.5897708,42507.74
132,1,0.7077249,39131.21
133,1,0.8492699,35688.22
134,1,1.019124,32170.2
135,1,1.222949,28596.82
136,1,1.467538,25006.57
137,1,1.761046,21450.43
138,1,2.113255,17988.46
139,1,2.535906,14687.31
140,1,3.043088,11617.26
141,1,3.651705,8847.506
142,1,4.382046,6439.548
143,1,5.258455,4438.809
144,1,6.310146,2865.955
145,1,7.572176,1710.288
146,1,9.086611,928.2459
147,1,10.90393,449.3724
148,1,13.08472,189.5545
149,1,15.70166,67.73706
150,1,18.842,19.82475
151,1,22.6104,4.563163
152,1,27.13247,0.7868137
153,1,32.55897,0.09586997
154,1,39.07076,0.007696674
155,1,46.88492,0.0003743509
156,1,56.2619,9.974362e-06
157,1,67.51428,1.290248e-07
158,1,81.01714,7.010122e-10
159,1,97.22056,1.344498e-12
160,1,116.6647,7.389515e-16
161,1,139.9976,9.062267e-20
162,1,167.9971,1.836747e-24
163,1,201.5966,4.291586e-30
164,1,241.9159,7.502932e-37
165,1,290.299,5.843116e-45
166,1,348.3589,1.087861e-54
167,1,418.0306,2.294475e-66
168,1,501.6367,2.237578e-80
169,1,601.9641,3.442137e-97
170,1,722.3569,2.298272e-117
171,1,866.8283,1.41574e-141
172,1,1040.194,1.254756e-170
173,1,1248.233,1.720733e-205
174,1,1497.879,2.513906e-247
175,1,1797.455,1.577432e-297
176,1,2156.946,0.0
177,1,2588.335,0.0
178,1,3106.003,0.0
179,1,3727.203,0.0
180,1,4472.644,0.0
181,1,5367.172,0.0
182,1,6440.607,0.0
183,1,7728.728,0.0
184,1,9274.474,0.0
185,1,11129.37,0.0
186,1,13355.24,0.0
187,1,16026.29,0.0
188,1,19231.55,0.0
189,1,23077.86,0.0
190,1,27693.43,0.0
191,1,33232.12,0.0
192,1,39878.54,0.0
193,1,47854.25,0.0
194,1,57425.1,0.0
195,1,68910.12,0.0
196,1,82692.14,0.0
197,1,99230.57,0.0
198,1,119076.7,0.0
199,1,142892.0,0.0
200,1,171470.4,0.0
201,1,205764.5,0.0
202,1,246917.4,0.0
203,1,296300.9,0.0
204,1,355561.1,0.0
205,1,426673.3,0.0
206,1,512007.9,0.0
207,1,614409.5,0.0
208,1,737291.4,0.0
209,1,884749.7,0.0
210,1,1061700.0,0.0
211,1,1274040.0,0.0
212,1,1528848.0,0.0
213,1,1834617.0,0.0
214,1,2201540.0,0.0
215,1,2641849.0,0.0
216,1,3170218.0,0.0
217,1,3804262.0,0.0
218,1,4565114.0,0.0
219,1,5478137.0,0.0
220,1,6573764.0,0.0
221,1,7888517.0,0.0
222,1,9466221.0,0.0
223,1,11359460.0,0.0
224,1,13631360.0,0.0
225,1,16357630.0,0.0
226,1,19629160.0,0.0
227,1,23554990.0,0.0
228,1,28265980.0,0.0
229,1,33919180.0,0.0
230,1,40703020.0,0.0
231,1,48843620.0,0.0
232,1,58612340.0,0.0
233,1,70334810.0,0.0
234,1,84401780.0,0.0
235,1,101282100.0,0.0
236,1,121538600.0,0.0
237,1,145846300.0,0.0
238,1,175015500.0,0.0
239,1,210018600.0,0.0
240,1,252022400.0,0.0
241,1,302426800.0,0.0
242,1,362912200.0,0.0
243,1,435494600.0,0.0
244,1,522593500.0,0.0
245,1,627112300.0,0.0
246,1,752534700.0,0.0
247,1,903041700.0,0.0
248,1,1083650000.0,0.0
249,1,1300380000.0,0.0
250,1,1560456000.0,0.0
251,1,1872547000.0,0.0
252,1,2247057000.0,0.0
253,1,2696468000.0,0.0
254,1,3235762000.0,0.0
255,1,3882914000.0,0.0
256,1,4659497000.0,0.0
257,1,5591396000.0,0.0
258,1,6709675000.0,0.0
259,1,8051610000.0,0.0
260,1,9661932000.0,0.0
261,1,11594320000.0,0.0
262,1,13913180000.0,0.0
263,1,16695820000.0,0.0
264,1,20034980000.0,0.0
265,1,24041980000.0,0.0
266,1,28850370000.0,0.0
267,1,34620450000.0,0.0
268,1,41544540000.0,0.0
269,1,49853450000.0,0.0
270,1,59824140000.0,0.0
271,1,71788960000.0,0.0
272,1,86146760000.0,0.0
273,1,103376100000.0,0.0
274,1,124051300000.0,0.0
275,1,148861600000.0,0.0
276,1,178633900000.0,0.0
277,1,214360700000.0,0.0
278,1,257232800000.0,0.0
279,1,308679400000.0,0.0
280,1,370415300000.0,0.0
281,1,444498300000.0,0.0
282,1,533398000000.0,0.0
283,1,640077600000.0,0.0
284,1,768093100000.0,0.0
285,1,921711800000.0,0.0
286,1,1106054000000.0,0.0
287,1,1327265000000.0,0.0
288,1,1592718000000.0,0.0
289,1,1911262000000.0,0.0
290,1,2293514000000.0,0.0
291,1,2752217000000.0,0.0
292,1,3302660000000.0,0.0
293,1,3963192000000.0,0.0
294,1,4755830000000.0,0.0
295,1,5706996000000.0,0.0
296,1,6848396000000.0,0.0
297,1,8218075000000.0,0.0
298,1,9861690000000.0,0.0
299,1,11834030000000.0,0.0
300,1,14200830000000.0,0.0
301,2,3e-11,87198400.0
302,2,3.6e-11,85521030.0
303,2,4.32e-11,83588010.0
304,2,5.184e-11,81377270.0
305,2,6.2208e-11,78871370.0
306,2,7.46496e-11,76060320.0
307,2,8.957952e-11,72944700.0
308,2,1.074954e-10,69538940.0
309,2,1.289945e-10,65873950.0
310,2,1.547934e-10,61998500.0
311,2,1.857521e-10,57978450.0
312,2,2.229025e-10,53893040.0
313,2,2.67483e-10,49828030.0
314,2,3.209796e-10,45866670.0
315,2,3.851755e-10,42080020.0
316,2,4.622106e-10,38519540.0
317,2,5.546528e-10,35213910.0
318,2,6.655833e-10,32170010.0
319,2,7.987e-10,29379110.0
320,2,9.5844e-10,26831080.0
321,2,1.150128e-09,24505110.0
322,2,1.380154e-09,22381640.0
323,2,1.656184e-09,20442860.0
324,2,1.987421e-09,18673240.0
325,2,2.384905e-09,17057620.0
326,2,2.861886e-09,15582670.0
327,2,3.434264e-09,14236450.0
328,2,4.121117e-09,13007860.0
329,2,4.94534e-09,11886290.0
330,2,5.934408e-09,10862770.0
331,2,7.121289e-09,9928895.0
332,2,8.545547e-09,9077038.0
333,2,1.025466e-08,8300258.0
334,2,1.230559e-08,7592248.0
335,2,1.476671e-08,6947077.0
336,2,1.772005e-08,6359801.0
337,2,2.126406e-08,5825545.0
338,2,2.551687e-08,5340325.0
339,2,3.062024e-08,4900349.0
340,2,3.674429e-08,4501902.0
341,2,4.409315e-08,4142326.0
342,2,5.291178e-08,3818932.0
343,2,6.349413e-08,3529159.0
344,2,7.619296e-08,3270888.0
345,2,9.143155e-08,3042188.0
346,2,1.097179e-07,2841354.0
347,2,1.316614e-07,2666557.0
348,2,1.579937e-07,2516083.0
349,2,1.895925e-07,2388130.0
350,2,2.27511e-07,2280733.0
351,2,2.730131e-07,2191738.0
352,2,3.276158e-07,2118677.0
353,2,3.931389e-07,2058910.0
354,2,4.717667e-07,2009697.0
355,2,5.661201e-07,1968312.0
356,2,6.793441e-07,1932279.0
357,2,8.152129e-07,1899581.0
358,2,9.782555e-07,1868773.0
359,2,1.173907e-06,1839004.0
360,2,1.408688e-06,1809904.0
361,2,1.690425e-06,1781404.0
362,2,2.028511e-06,1753548.0
363,2,2.434213e-06,1726372.0
364,2,2.921055e-06,1699857.0
365,2,3.505266e-06,1673934.0
366,2,4.206319e-06,1648508.0
367,2,5.047583e-06,1623476.0
368,2,6.0571e-06,1598738.0
369,2,7.26852e-06,1574196.0
370,2,8.722224e-06,1549761.0
371,2,1.046667e-05,1525347.0
372,2,1.256e-05,1500870.0
373,2,1.5072e-05,1476254.0
374,2,1.80864e-05,1451423.0
375,2,2.170368e-05,1426308.0
376,2,2.604442e-05,1400850.0
377,2,3.125331e-05,1375011.0
378,2,3.750397e-05,1338688.0
379,2,4.500476e-05,1315062.0
380,2,5.400571e-05,1290530.0
381,2,6.480685e-05,1265060.0
382,2,7.776822e-05,1238620.0
383,2,9.332187e-05,1211184.0
384,2,0.0001119862,1182727.0
385,2,0.0001343835,1153231.0
386,2,0.0001612602,1122686.0
387,2,0.0001935122,1091094.0
388,2,0.0002322147,1058465.0
389,2,0.0002786576,1024830.0
390,2,0.0003343891,990232.1
391,2,0.000401267,954737.3
392,2,0.0004815203,918431.6
393,2,0.0005778244,881423.5
394,2,0.0006933893,843843.6
395,2,0.0008320672,805843.4
396,2,0.0009984806,767592.7
397,2,0.001198177,729275.3
398,2,0.001437812,691083.4
399,2,0.001725374,653211.6
400,2,0.002070449,615849.3
401,2,0.002484539,579174.0
402,2,0.002981447,543345.4
403,2,0.003577736,508500.2
404,2,0.004293284,474750.0
405,2,0.005151941,442180.4
406,2,0.006182329,410852.3
407,2,0.007418794,380805.7
408,2,0.008902553,352063.1
409,2,0.01068306,324634.8
410,2,0.01281968,298523.5
411,2,0.01538361,273728.0
412,2,0.01846033,250247.1
413,2,0.0221524,228081.6
414,2,0.02658288,207235.9
415,2,0.03189946,187718.9
416,2,0.03827935,169543.2
417,2,0.04593522,152724.0
418,2,0.05512226,137277.0
419,2,0.06614672,123214.5
420,2,0.07937606,110541.4
421,2,0.09525127,99249.6
422,2,0.1143015,89311.68
423,2,0.1371618,80674.75
424,2,0.1645942,73255.04
425,2,0.197513,66934.8
426,2,0.2370156,61563.03
427,2,0.2844188,56961.51
428,2,0.3413025,52936.49
429,2,0.409563,49295.32
430,2,0.4914756,45864.91
431,2,0.5897708,42507.74
432,2,0.7077249,39131.21
433,2,0.8492699,35688.22
434,2,1.019124,32170.2
435,2,1.222949,28596.82
436,2,1.467538,25006.57
437,2,1.761046,21450.43
438,2,2.113255,17988.46
439,2,2.535906,14687.31
440,2,3.043088,11617.26
441,2,3.651705,8847.506
442,2,4.382046,6439.548
443,2,5.258455,4438.809
444,2,6.310146,2865.955
445,2,7.572176,1710.288
446,2,9.086611,928.2459
447,2,10.90393,449.3724
448,2,13.08472,189.5545
449,2,15.70166,67.73706
450,2,18.842,19.82475
451,2,22.6104,4.563163
452,2,27.13247,0.7868137
453,2,32.55897,0.09586997
454,2,39.07076,0.007696674
455,2,46.88492,0.0003743509
456,2,56.2619,9.974362e-06
457,2,67.51428,1.290248e-07
458,2,81.01714,7.010122e-10
459,2,97.22056,1.344498e-12
460,2,116.6647,7.389515e-16
461,2,139.9976,9.062267e-20
462,2,167.9971,1.836747e-24
463,2,201.5966,4.291586e-30
464,2,241.9159,7.502932e-37
465,2,290.299,5.843116e-45
466,2,348.3589,1.087861e-54
467,2,418.0306,2.294475e-66
468,2,501.6367,2.237578e-80
469,2,601.9641,3.442137e-97
470,2,722.3569,2.298272e-117
471,2,866.8283,1.41574e-141
472,2,1040.194,1.254756e-170
473,2,1248.233,1.720733e-205
474,2,1497.879,2.513906e-247
475,2,1797.455,1.577432e-297
476,2,2156.946,0.0
477,2,2588.335,0.0
478,2,3106.003,0.0
479,2,3727.203,0.0
480,2,4472.644,0.0
481,2,5367.172,0.0
482,2,6440.607,0.0
483,2,7728.728,0.0
484,2,9274.474,0.0
485,2,11129.37,0.0
486,2,13355.24,0.0
487,2,16026.29,0.0
488,2,19231.55,0.0
489,2,23077.86,0.0
490,2,27693.43,0.0
491,2,33232.12,0.0
492,2,39878.54,0.0
493,2,47854.25,0.0
494,2,57425.1,0.0
495,2,68910.12,0.0
496,2,82692.14,0.0
497,2,99230.57,0.0
498,2,119076.7,0.0
499,2,142892.0,0.0
500,2,171470.4,0.0
501,2,205764.5,0.0
502,2,246917.4,0.0
503,2,296300.9,0.0
504,2,355561.1,0.0
505,2,426673.3,0.0
506,2,512007.9,0.0
507,2,614409.5,0.0
508,2,737291.4,0.0
509,2,884749.7,0.0
510,2,1061700.0,0.0
511,2,1274040.0,0.0
512,2,1528848.0,0.0
513,2,1834617.0,0.0
514,2,2201540.0,0.0
515,2,2641849.0,0.0
516,2,3170218.0,0.0
517,2,3804262.0,0.0
518,2,4565114.0,0.0
519,2,5478137.0,0.0
520,2,6573764.0,0.0
521,2,7888517.0,0.0
522,2,9466221.0,0.0
523,2,11359460.0,0.0
524,2,13631360.0,0.0
525,2,16357630.0,0.0
526,2,19629160.0,0.0
527,2,23554990.0,0.0
528,2,28265980.0,0.0
529,2,33919180.0,0.0
530,2,40703020.0,0.0
531,2,48843620.0,0.0
532,2,58612340.0,0.0
533,2,70334810.0,0.0
534,2,84401780.0,0.0
535,2,101282100.0,0.0
536,2,121538600.0,0.0
537,2,145846300.0,0.0
538,2,175015500.0,0.0
539,2,210018600.0,0.0
540,2,252022400.0,0.0
541,2,302426800.0,0.0
542,2,362912200.0,0.0
543,2,435494600.0,0.0
544,2,522593500.0,0.0
545,2,627112300.0,0.0
546,2,752534700.0,0.0
547,2,903041700.0,0.0
548,2,1083650000.0,0.0
549,2,1300380000.0,0.0
550,2,1560456000.0,0.0
551,2,1872547000.0,0.0
552,2,2247057000.0,0.0
553,2,2696468000.0,0.0
554,2,3235762000.0,0.0
555,2,3882914000.0,0.0
556,2,4659497000.0,0.0
557,2,5591396000.0,0.0
558,2,6709675000.0,0.0
559,2,8051610000.0,0.0
560,2,9661932000.0,0.0
561,2,11594320000.0,0.0
562,2,13913180000.0,0.0
563,2,16695820000.0,0.0
564,2,20034980000.0,0.0
565,2,24041980000.0,0.0
566,2,28850370000.0,0.0
567,2,34620450000.0,0.0
568,2,41544540000.0,0.0
569,2,49853450000.0,0.0
570,2,59824140000.0,0.0
571,2,71788960000.0,0.0
572,2,86146760000.0,0.0
573,2,103376100000.0,0.0
574,2,124051300000.0,0.0
575,2,148861600000.0,0.0
576,2,178633900000.0,0.0
577,2,214360700000.0,0.0
578,2,257232800000.0,0.0
579,2,308679400000.0,0.0
580,2,370415300000.0,0.0
581,2,444498300000.0,0.0
582,2,533398000000.0,0.0
583,2,640077600000.0,0.0
584,2,768093100000.0,0.0
585,2,921711800000.0,0.0
586,2,1106054000000.0,0.0
587,2,1327265000000.0,0.0
588,2,1592718000000.0,0.0
589,2,1911262000000.0,0.0
590,2,2293514000000.0,0.0
591,2,2752217000000.0,0.0
592,2,3302660000000.0,0.0
593,2,3963192000000.0,0.0
594,2,4755830000000.0,0.0
595,2,5706996000000.0,0.0
596,2,6848396000000.0,0.0
597,2,8218075000000.0,0.0
598,2,9861690000000.0,0.0
599,2,11834030000000.0,0.0
600,2,14200830000000.0,0.0
