id,simulation_id,time,G_t
1,1,3e-11,86990820.0
2,1,3.6e-11,85316850.0
3,1,4.32e-11,83387850.0
4,1,5.184e-11,81181830.0
5,1,6.2208e-11,78681430.0
6,1,7.46496e-11,75876710.0
7,1,8.957952e-11,72768340.0
8,1,1.074954e-10,69370740.0
9,1,1.289945e-10,65714790.0
10,1,1.547934e-10,61849200.0
11,1,1.857521e-10,57839700.0
12,1,2.229025e-10,53765320.0
13,1,2.67483e-10,49711600.0
14,1,3.209796e-10,45761500.0
15,1,3.851755e-10,41985830.0
16,1,4.622106e-10,38435810.0
17,1,5.546528e-10,35139950.0
18,1,6.655833e-10,32105090.0
19,1,7.987e-10,29322410.0
20,1,9.5844e-10,26781800.0
21,1,1.150128e-09,24462450.0
22,1,1.380154e-09,22344810.0
23,1,1.656184e-09,20411480.0
24,1,1.987421e-09,18646510.0
25,1,2.384905e-09,17035150.0
26,1,2.861886e-09,15563990.0
27,1,3.434264e-09,14221040.0
28,1,4.121117e-09,12995040.0
29,1,4.94534e-09,11875890.0
30,1,5.934408e-09,10854450.0
31,1,7.121289e-09,9922251.0
32,1,8.545547e-09,9071644.0
33,1,1.025466e-08,8295804.0
34,1,1.230559e-08,7588283.0
35,1,1.476671e-08,6943428.0
36,1,1.772005e-08,6356058.0
37,1,2.126406e-08,5821454.0
38,1,2.551687e-08,5335502.0
39,1,3.062024e-08,4894334.0
40,1,3.674429e-08,4494585.0
41,1,4.409315e-08,4133207.0
42,1,5.291178e-08,3807497.0
43,1,6.349413e-08,3515078.0
44,1,7.619296e-08,3253758.0
45,1,9.143155e-08,3021591.0
46,1,1.097179e-07,2816754.0
47,1,1.316614e-07,2637552.0
48,1,1.579937e-07,2482218.0
49,1,1.895925e-07,2349053.0
50,1,2.27511e-07,2236137.0
51,1,2.730131e-07,2141386.0
52,1,3.276158e-07,2062509.0
53,1,3.931389e-07,1997017.0
54,1,4.717667e-07,1942317.0
55,1,5.661201e-07,1895847.0
56,1,6.793441e-07,1855253.0
57,1,8.152129e-07,1818561.0
58,1,9.782555e-07,1784287.0
59,1,1.173907e-06,1751460.0
60,1,1.408688e-06,1719547.0
61,1,1.690425e-06,1688318.0
62,1,2.028511e-06,1657701.0
63,1,2.434213e-06,1627669.0
64,1,2.921055e-06,1598186.0
65,1,3.505266e-06,1569190.0
66,1,4.206319e-06,1540602.0
67,1,5.047583e-06,1512333.0
68,1,6.0571e-06,1484295.0
69,1,7.26852e-06,1456403.0
70,1,8.722224e-06,1428576.0
71,1,1.046667e-05,1400736.0
72,1,1.256e-05,1372816.0
73,1,1.5072e-05,1344752.0
74,1,1.80864e-05,1316486.0
75,1,2.170368e-05,1287968.0
76,1,2.604442e-05,1259147.0
77,1,3.125331e-05,1229979.0
78,1,3.750397e-05,1200423.0
79,1,4.500476e-05,1162581.0
80,1,5.400571e-05,1134032.0
81,1,6.480685e-05,1104649.0
82,1,7.776822e-05,1074439.0
83,1,9.332187e-05,1043416.0
84,1,0.0001119862,1011601.0
85,1,0.0001343835,979025.1
86,1,0.0001612602,945726.0
87,1,0.0001935122,911753.8
88,1,0.0002322147,877169.7
89,1,0.0002786576,842047.1
90,1,0.0003343891,806471.9
91,1,0.000401267,770541.1
92,1,0.0004815203,734362.2
93,1,0.0005778244,698051.4
94,1,0.0006933893,661731.3
95,1,0.0008320672,625530.4
96,1,0.0009984806,589580.7
97,1,0.001198177,554017.9
98,1,0.001437812,518979.2
99,1,0.001725374,484602.5
100,1,0.002070449,451023.2
101,1,0.002484539,418371.9
102,1,0.002981447,386769.7
103,1,0.003577736,356325.0
104,1,0.004293284,327129.1
105,1,0.005151941,299253.9
106,1,0.006182329,272751.0
107,1,0.007418794,247653.4
108,1,0.008902553,223978.5
109,1,0.01068306,201731.6
110,1,0.01281968,180908.7
111,1,0.01538361,161498.1
112,1,0.01846033,143480.4
113,1,0.0221524,126828.4
114,1,0.02658288,111508.8
115,1,0.03189946,97484.46
116,1,0.03827935,84715.62
117,1,0.04593522,73159.96
118,1,0.05512226,62770.53
119,1,0.06614672,53493.81
120,1,0.07937606,45269.08
121,1,0.09525127,38029.38
122,1,0.1143015,31703.39
123,1,0.1371618,26217.43
124,1,0.1645942,21496.92
125,1,0.197513,17467.42
126,1,0.2370156,14055.54
127,1,0.2844188,11190.23
128,1,0.3413025,8804.343
129,1,0.409563,6835.926
130,1,0.4914756,5228.889
131,1,0.5897708,3932.862
132,1,0.7077249,2902.605
133,1,0.8492699,2097.345
134,1,1.019124,1480.227
135,1,1.222949,1017.926
136,1,1.467538,680.4416
137,1,1.761046,441.1046
138,1,2.113255,276.7081
139,1,2.535906,167.6389
140,1,3.043088,97.89476
141,1,3.651705,54.95819
142,1,4.382046,29.51795
143,1,5.258455,15.02966
144,1,6.310146,7.145373
145,1,7.572176,3.103784
146,1,9.086611,1.198756
147,1,10.90393,0.3990228
148,1,13.08472,0.1106096
149,1,15.70166,0.02458237
150,1,18.842,0.004193261
151,1,22.6104,0.0005210992
152,1,27.13247,4.425175e-05
153,1,32.55897,2.372823e-06
154,1,39.07076,7.291836e-08
155,1,46.88492,1.141792e-09
156,1,56.2619,7.910069e-12
157,1,67.51428,2.048264e-14
158,1,81.01714,1.621628e-17
159,1,97.22056,3.089068e-21
160,1,116.6647,1.063334e-25
161,1,139.9976,4.694339e-31
162,1,167.9971,1.761986e-37
163,1,201.5966,3.433706e-45
164,1,241.9159,1.922428e-54
165,1,290.299,1.520084e-65
166,1,348.3589,7.240202e-79
167,1,418.0306,7.471873e-95
168,1,501.6367,4.898089e-114
169,1,601.9641,4.678374e-137
170,1,722.3569,1.112506e-164
171,1,866.8283,7.904123e-198
172,1,1040.194,1.317643e-237
173,1,1248.233,2.433296e-285
174,1,1497.879,0.0
175,1,1797.455,0.0
176,1,2156.946,0.0
177,1,2588.335,0.0
178,1,3106.003,0.0
179,1,3727.203,0.0
180,1,4472.644,0.0
181,1,5367.172,0.0
182,1,6440.607,0.0
183,1,7728.728,0.0
184,1,9274.474,0.0
185,1,11129.37,0.0
186,1,13355.24,0.0
187,1,16026.29,0.0
188,1,19231.55,0.0
189,1,23077.86,0.0
190,1,27693.43,0.0
191,1,33232.12,0.0
192,1,39878.54,0.0
193,1,47854.25,0.0
194,1,57425.1,0.0
195,1,68910.12,0.0
196,1,82692.14,0.0
197,1,99230.57,0.0
198,1,119076.7,0.0
199,1,142892.0,0.0
200,1,171470.4,0.0
201,1,205764.5,0.0
202,1,246917.4,0.0
203,1,296300.9,0.0
204,1,355561.1,0.0
205,1,426673.3,0.0
206,1,512007.9,0.0
207,1,614409.5,0.0
208,1,737291.4,0.0
209,1,884749.7,0.0
210,1,1061700.0,0.0
211,1,1274040.0,0.0
212,1,1528848.0,0.0
213,1,1834617.0,0.0
214,1,2201540.0,0.0
215,1,2641849.0,0.0
216,1,3170218.0,0.0
217,1,3804262.0,0.0
218,1,4565114.0,0.0
219,1,5478137.0,0.0
220,1,6573764.0,0.0
221,1,7888517.0,0.0
222,1,9466221.0,0.0
223,1,11359460.0,0.0
224,1,13631360.0,0.0
225,1,16357630.0,0.0
226,1,19629160.0,0.0
227,1,23554990.0,0.0
228,1,28265980.0,0.0
229,1,33919180.0,0.0
230,1,40703020.0,0.0
231,1,48843620.0,0.0
232,1,58612340.0,0.0
233,1,70334810.0,0.0
234,1,84401780.0,0.0
235,1,101282100.0,0.0
236,1,121538600.0,0.0
237,1,145846300.0,0.0
238,1,175015500.0,0.0
239,1,210018600.0,0.0
240,1,252022400.0,0.0
241,1,302426800.0,0.0
242,1,362912200.0,0.0
243,1,435494600.0,0.0
244,1,522593500.0,0.0
245,1,627112300.0,0.0
246,1,752534700.0,0.0
247,1,903041700.0,0.0
248,1,1083650000.0,0.0
249,1,1300380000.0,0.0
250,1,1560456000.0,0.0
251,1,1872547000.0,0.0
252,1,2247057000.0,0.0
253,1,2696468000.0,0.0
254,1,3235762000.0,0.0
255,1,3882914000.0,0.0
256,1,4659497000.0,0.0
257,1,5591396000.0,0.0
258,1,6709675000.0,0.0
259,1,8051610000.0,0.0
260,1,9661932000.0,0.0
261,1,11594320000.0,0.0
262,1,13913180000.0,0.0
263,1,16695820000.0,0.0
264,1,20034980000.0,0.0
265,1,24041980000.0,0.0
266,1,28850370000.0,0.0
267,1,34620450000.0,0.0
268,1,41544540000.0,0.0
269,1,49853450000.0,0.0
270,1,59824140000.0,0.0
271,1,71788960000.0,0.0
272,1,86146760000.0,0.0
273,1,103376100000.0,0.0
274,1,124051300000.0,0.0
275,1,148861600000.0,0.0
276,1,178633900000.0,0.0
277,1,214360700000.0,0.0
278,1,257232800000.0,0.0
279,1,308679400000.0,0.0
280,1,370415300000.0,0.0
281,1,444498300000.0,0.0
282,1,533398000000.0,0.0
283,1,640077600000.0,0.0
284,1,768093100000.0,0.0
285,1,921711800000.0,0.0
286,1,1106054000000.0,0.0
287,1,1327265000000.0,0.0
288,1,1592718000000.0,0.0
289,1,1911262000000.0,0.0
290,1,2293514000000.0,0.0
291,1,2752217000000.0,0.0
292,1,3302660000000.0,0.0
293,1,3963192000000.0,0.0
294,1,4755830000000.0,0.0
295,1,5706996000000.0,0.0
296,1,6848396000000.0,0.0
297,1,8218075000000.0,0.0
298,1,9861690000000.0,0.0
299,1,11834030000000.0,0.0
300,1,14200830000000.0,0.0
301,2,3e-11,86667040.0
302,2,3.6e-11,84998660.0
303,2,4.32e-11,83076210.0
304,2,5.184e-11,80877830.0
305,2,6.2208e-11,78386270.0
306,2,7.46496e-11,75591690.0
307,2,8.957952e-11,72494790.0
308,2,1.074954e-10,69110040.0
309,2,1.289945e-10,65468240.0
310,2,1.547934e-10,61617990.0
311,2,1.857521e-10,57624780.0
312,2,2.229025e-10,53567360.0
313,2,2.67483e-10,49530890.0
314,2,3.209796e-10,45597940.0
315,2,3.851755e-10,41838930.0
316,2,4.622106e-10,38304750.0
317,2,5.546528e-10,35023680.0
318,2,6.655833e-10,32002500.0
319,2,7.987e-10,29232290.0
320,2,9.5844e-10,26702910.0
321,2,1.150128e-09,24393760.0
322,2,1.380154e-09,22285220.0
323,2,1.656184e-09,20360120.0
324,2,1.987421e-09,18602520.0
325,2,2.384905e-09,16997740.0
326,2,2.861886e-09,15532380.0
327,2,3.434264e-09,14194620.0
328,2,4.121117e-09,12973140.0
329,2,4.94534e-09,11857920.0
330,2,5.934408e-09,10839840.0
331,2,7.121289e-09,9910484.0
332,2,8.545547e-09,9062180.0
333,2,1.025466e-08,8288202.0
334,2,1.230559e-08,7582046.0
335,2,1.476671e-08,6938088.0
336,2,1.772005e-08,6351145.0
337,2,2.126406e-08,5816493.0
338,2,2.551687e-08,5330044.0
339,2,3.062024e-08,4887890.0
340,2,3.674429e-08,4486647.0
341,2,4.409315e-08,4123277.0
342,2,5.291178e-08,3795008.0
343,2,6.349413e-08,3499501.0
344,2,7.619296e-08,3234525.0
345,2,9.143155e-08,2998130.0
346,2,1.097179e-07,2788501.0
347,2,1.316614e-07,2603981.0
348,2,1.579937e-07,2442851.0
349,2,1.895925e-07,2303501.0
350,2,2.27511e-07,2184127.0
351,2,2.730131e-07,2082793.0
352,2,3.276158e-07,1997381.0
353,2,3.931389e-07,1925583.0
354,2,4.717667e-07,1864973.0
355,2,5.661201e-07,1813123.0
356,2,6.793441e-07,1767754.0
357,2,8.152129e-07,1726890.0
358,2,9.782555e-07,1688967.0
359,2,1.173907e-06,1652870.0
360,2,1.408688e-06,1617898.0
361,2,1.690425e-06,1583672.0
362,2,2.028511e-06,1550011.0
363,2,2.434213e-06,1516835.0
364,2,2.921055e-06,1484090.0
365,2,3.505266e-06,1451719.0
366,2,4.206319e-06,1419656.0
367,2,5.047583e-06,1387827.0
368,2,6.0571e-06,1356152.0
369,2,7.26852e-06,1324553.0
370,2,8.722224e-06,1292951.0
371,2,1.046667e-05,1261268.0
372,2,1.256e-05,1229434.0
373,2,1.5072e-05,1197384.0
374,2,1.80864e-05,1165060.0
375,2,2.170368e-05,1132411.0
376,2,2.604442e-05,1099390.0
377,2,3.125331e-05,1065958.0
378,2,3.750397e-05,1025091.0
379,2,4.500476e-05,992520.4
380,2,5.400571e-05,959089.4
381,2,6.480685e-05,924822.1
382,2,7.776822e-05,889749.5
383,2,9.332187e-05,853909.7
384,2,0.0001119862,817347.9
385,2,0.0001343835,780117.4
386,2,0.0001612602,742281.2
387,2,0.0001935122,703913.9
388,2,0.0002322147,665105.5
389,2,0.0002786576,625964.5
390,2,0.0003343891,586621.6
391,2,0.000401267,547231.8
392,2,0.0004815203,507974.3
393,2,0.0005778244,469050.5
394,2,0.0006933893,430680.5
395,2,0.0008320672,393097.1
396,2,0.0009984806,356540.6
397,2,0.001198177,321251.7
398,2,0.001437812,287464.4
399,2,0.001725374,255397.7
400,2,0.002070449,225246.3
401,2,0.002484539,197171.2
402,2,0.002981447,171291.7
403,2,0.003577736,147681.4
404,2,0.004293284,126369.5
405,2,0.005151941,107343.9
406,2,0.006182329,90554.3
407,2,0.007418794,75912.55
408,2,0.008902553,63291.97
409,2,0.01068306,52529.7
410,2,0.01281968,43434.68
411,2,0.01538361,35801.25
412,2,0.01846033,29425.23
413,2,0.0221524,24117.13
414,2,0.02658288,19709.55
415,2,0.03189946,16058.36
416,2,0.03827935,13040.49
417,2,0.04593522,10550.89
418,2,0.05512226,8500.414
419,2,0.06614672,6814.478
420,2,0.07937606,5431.651
421,2,0.09525127,4301.732
422,2,0.1143015,3383.369
423,2,0.1371618,2641.791
424,2,0.1645942,2047.129
425,2,0.197513,1573.476
426,2,0.2370156,1198.521
427,2,0.2844188,903.4855
428,2,0.3413025,673.0156
429,2,0.409563,494.7941
430,2,0.4914756,358.9032
431,2,0.5897708,257.1362
432,2,0.7077249,182.4713
433,2,0.8492699,128.7945
434,2,1.019124,90.83819
435,2,1.222949,64.23412
436,2,1.467538,45.56803
437,2,1.761046,32.35254
438,2,2.113255,22.89553
439,2,2.535906,16.09571
440,2,3.043088,11.22845
441,2,3.651705,7.780432
442,2,4.382046,5.357971
443,2,5.258455,3.654976
444,2,6.310146,2.447302
445,2,7.572176,1.585656
446,2,9.086611,0.9773265
447,2,10.90393,0.562741
448,2,13.08472,0.2969621
449,2,15.70166,0.1406
450,2,18.842,0.05827119
451,2,22.6104,0.0205326
452,2,27.13247,0.00594159
453,2,32.55897,0.001354902
454,2,39.07076,0.0002317882
455,2,46.88492,2.805013e-05
456,2,56.2619,2.238279e-06
457,2,67.51428,1.082616e-07
458,2,81.01714,2.8695e-09
459,2,97.22056,3.693033e-11
460,2,116.6647,1.99624e-13
461,2,139.9976,3.80836e-16
462,2,167.9971,2.081234e-19
463,2,201.5966,2.536425e-23
464,2,241.9159,5.104776e-28
465,2,290.299,1.183171e-33
466,2,348.3589,2.049302e-40
467,2,418.0306,1.578602e-48
468,2,501.6367,2.90138e-58
469,2,601.9641,6.026706e-70
470,2,722.3569,5.771411e-84
471,2,866.8283,8.687951e-101
472,2,1040.194,5.652498e-121
473,2,1248.233,3.37568e-145
474,2,1497.879,2.882809e-174
475,2,1797.455,3.781384e-209
476,2,2156.946,5.237497e-251
477,2,2588.335,3.082808e-301
478,2,3106.003,0.0
479,2,3727.203,0.0
480,2,4472.644,0.0
481,2,5367.172,0.0
482,2,6440.607,0.0
483,2,7728.728,0.0
484,2,9274.474,0.0
485,2,11129.37,0.0
486,2,13355.24,0.0
487,2,16026.29,0.0
488,2,19231.55,0.0
489,2,23077.86,0.0
490,2,27693.43,0.0
491,2,33232.12,0.0
492,2,39878.54,0.0
493,2,47854.25,0.0
494,2,57425.1,0.0
495,2,68910.12,0.0
496,2,82692.14,0.0
497,2,99230.57,0.0
498,2,119076.7,0.0
499,2,142892.0,0.0
500,2,171470.4,0.0
501,2,205764.5,0.0
502,2,246917.4,0.0
503,2,296300.9,0.0
504,2,355561.1,0.0
505,2,426673.3,0.0
506,2,512007.9,0.0
507,2,614409.5,0.0
508,2,737291.4,0.0
509,2,884749.7,0.0
510,2,1061700.0,0.0
511,2,1274040.0,0.0
512,2,1528848.0,0.0
513,2,1834617.0,0.0
514,2,2201540.0,0.0
515,2,2641849.0,0.0
516,2,3170218.0,0.0
517,2,3804262.0,0.0
518,2,4565114.0,0.0
519,2,5478137.0,0.0
520,2,6573764.0,0.0
521,2,7888517.0,0.0
522,2,9466221.0,0.0
523,2,11359460.0,0.0
524,2,13631360.0,0.0
525,2,16357630.0,0.0
526,2,19629160.0,0.0
527,2,23554990.0,0.0
528,2,28265980.0,0.0
529,2,33919180.0,0.0
530,2,40703020.0,0.0
531,2,48843620.0,0.0
532,2,58612340.0,0.0
533,2,70334810.0,0.0
534,2,84401780.0,0.0
535,2,101282100.0,0.0
536,2,121538600.0,0.0
537,2,145846300.0,0.0
538,2,175015500.0,0.0
539,2,210018600.0,0.0
540,2,252022400.0,0.0
541,2,302426800.0,0.0
542,2,362912200.0,0.0
543,2,435494600.0,0.0
544,2,522593500.0,0.0
545,2,627112300.0,0.0
546,2,752534700.0,0.0
547,2,903041700.0,0.0
548,2,1083650000.0,0.0
549,2,1300380000.0,0.0
550,2,1560456000.0,0.0
551,2,1872547000.0,0.0
552,2,2247057000.0,0.0
553,2,2696468000.0,0.0
554,2,3235762000.0,0.0
555,2,3882914000.0,0.0
556,2,4659497000.0,0.0
557,2,5591396000.0,0.0
558,2,6709675000.0,0.0
559,2,8051610000.0,0.0
560,2,9661932000.0,0.0
561,2,11594320000.0,0.0
562,2,13913180000.0,0.0
563,2,16695820000.0,0.0
564,2,20034980000.0,0.0
565,2,24041980000.0,0.0
566,2,28850370000.0,0.0
567,2,34620450000.0,0.0
568,2,41544540000.0,0.0
569,2,49853450000.0,0.0
570,2,59824140000.0,0.0
571,2,71788960000.0,0.0
572,2,86146760000.0,0.0
573,2,103376100000.0,0.0
574,2,124051300000.0,0.0
575,2,148861600000.0,0.0
576,2,178633900000.0,0.0
577,2,214360700000.0,0.0
578,2,257232800000.0,0.0
579,2,308679400000.0,0.0
580,2,370415300000.0,0.0
581,2,444498300000.0,0.0
582,2,533398000000.0,0.0
583,2,640077600000.0,0.0
584,2,768093100000.0,0.0
585,2,921711800000.0,0.0
586,2,1106054000000.0,0.0
587,2,1327265000000.0,0.0
588,2,1592718000000.0,0.0
589,2,1911262000000.0,0.0
590,2,2293514000000.0,0.0
591,2,2752217000000.0,0.0
592,2,3302660000000.0,0.0
593,2,3963192000000.0,0.0
594,2,4755830000000.0,0.0
595,2,5706996000000.0,0.0
596,2,6848396000000.0,0.0
597,2,8218075000000.0,0.0
598,2,9861690000000.0,0.0
599,2,11834030000000.0,0.0
600,2,14200830000000.0,0.0
601,3,3e-11,87038430.0
602,3,3.6e-11,85364890.0
603,3,4.32e-11,83436170.0
604,3,5.184e-11,81230190.0
605,3,6.2208e-11,78729500.0
606,3,7.46496e-11,75924050.0
607,3,8.957952e-11,72814380.0
608,3,1.074954e-10,69414780.0
609,3,1.289945e-10,65756030.0
610,3,1.547934e-10,61886760.0
611,3,1.857521e-10,57872660.0
